,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
45,"Deloitte
4.1",Analytics – Data Science – Manager/Sr. Manager,Bengaluru,"Analytics – Data Science – Manager/Sr. Manager
Deloitte’s Audit and Assurance business embraces the promise of artificial intelligence and machine learning, with various forms of AI and ML embedded in the audit technology solutions currently used by our 10,000+ practitioners today. Within our dedicated Data Science organization, a subgroup of the Audit Transformation group, we continue that journey enabling the next generation of AI-enabled solutions that usher in a future that completely transforms the way our practitioners perform their audit work, and the insights we can provide to our clients.
The Data Science group consists of a blend of auditors and data scientists working hand-in-hand to capitalize on our world-class data assets and ideate, design, develop, deploy, and manage AI and ML solutions that can be integrated into our existing Omnia ecosystem to increase the quality of our audits, and automate mechanical processes. You will be joining a growing team of talented professionals dedicated to realizing the vision of an AI-enabled audit.
As a Manager or Senior Manager in the Data Science group, you will serve as a subject matter expert, leading the auditing and process-specific components of our Data Science workstreams and AI and ML solutions.
Specifically, you will be expected to:
Define the business problem and work with data scientists to effectively translate it into a data science problem
Co-lead the planning, development, documentation, and day-to-day management of an AI solution project plan that effectively prioritizes goals and objectives
Work hand-in-hand with data scientists to ensure the inputs and outputs of the AI solution suit the intended user experience and audit workflow, and address the root cause of the defined business problem
Manage developers and guide data scientists in designing the user experience of the AI-enhanced audit workflow
Tag datasets or supervise and review the tagging of datasets in order to produce high-quality training data for supervised ML models
Present progress updates and lead technical demonstrations to Audit Transformation and senior firm leaders
Design and lead pilot programs that solicit feedback from audit engagement teams
Present to the broader Audit practice regarding artificial intelligence and the solutions we build
Manage the production and publishing of internal and external eminence regarding artificial intelligence in the Deloitte Audit
Qualifications
Required:
A bold, creative mindset – we will be exploring technologies and techniques that represent a new way of thinking
A demonstrated interest in technology or process transformation
Strong project management capabilities
Strong understanding of technical auditing requirements
Ability to visualize and create user experience process flowcharts and data flowcharts (Visio, etc.)
Experience producing and presenting high-quality PowerPoint slide materials
Ability to travel when necessary
Preferred:
Previous experience in a technical National Office role (Audit & Assurance Services or Accounting & Reporting Services), or an Audit Transformation role
Demonstrable history of designing custom analytics, analyses, VBA scripts, or other automation routines within your audits
Experience with coding and advanced quantitative modeling – Python preferred, though other languages (R, SAS, etc.) also useful
Experience with software and/or web development (HTML, JavaScript, JSON)
Familiarity with artificial intelligence and machine learning concepts
Real-world experience with Omnia and Omnia|Cortex
Experience with Agile Methodology or Scaled Agile Framework (SAFe)

Recruiting tips
Finding the right job and preparing for the recruitment process can be tricky. Check out tips from our Deloitte recruiting professionals to set yourself up for success. Check out recruiting tips from Deloitte recruiters.
Benefits
We believe that to be an undisputed leader in professional services, we should equip you with the resources that can make a positive impact on your well-being journey. Our vision is to create a leadership culture focused on the development and well-being of our people. Here are some of our benefits and programs to support you and your family’s well-being needs. Learn more about what working at Deloitte can mean for you.
Our people and culture
Our people and our culture make Deloitte a place where leaders thrive. Get an inside look at the rich diversity of background, education, and experiences of our people. What impact will you make? Be inspired by the stories of our people.
Our purpose
Deloitte’s purpose is to make an impact that matters for our clients, our people, and in our communities. We are creating trust and confidence in a more equitable society. At Deloitte, purpose is synonymous with how we work every day. It defines who we are. We are focusing our collective efforts to advance sustainability, equity, and trust that come to life through our core commitments. Learn more about Deloitte's purpose, commitments, and impact.
Professional development
You want to make an impact. And we want you to make it. We can help you do that by providing you the culture, training, resources, and opportunities to help you grow and succeed as a professional. Learn more about our commitment to developing our people.
Requisition code: 143003
Start your job application: click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Private,Finance,Accounting & Tax,1850,$10+ billion (USD)
46,"Multi Recruit
4.4",Data Scientist,Bengaluru,"Responsibilities:
Should be experienced in Predictive analytics (like user retention/churn prediction, etc.)
Should be proficient in Data visualization.
Knowledge of NLP/ Deep learning is a plus.
Experience in the Gaming industry is a plus.
Should have deployed machine learning models at the production level.
Experience in the mobile app analytics domain is a plus.
Qualifications:
Degree from top institutions or equivalent work experience in Computer Science /Analytics/Statistics/Mathematics/Engineering, etc.
Experience with SQL, R, Python and analyzing complex, high-volume, high-dimensionality data from sources including data collection, assembly, cleansing, formatting, and validation of results
2-5 years’ Experience with data mining, machine learning, statistical modelling tools and underlying algorithms.
Data visualization and dash-boarding building experience with google data-studio, Tableau etc.
Bonus Points:
Experience and passion in product/gaming company
Advanced degree in Analytics, Statistics, Mathematics, etc.
Familiarity with GCP, big-query, google data-studio
Job Type: Full-time
Salary: ₹3,000,000.00 - ₹5,000,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Experience:
Data Scientist: 3 years (Preferred)
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2013,$100 to $500 million (USD)
47,"Airtel India
4.2",Associate Data Scientist,India,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.

Start your job application: click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,#N/A,$10+ billion (USD)
48,"Cellworks Research India
3.4",Data Scientist,Bengaluru,"Requirements and Qualification:
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn). Understanding of algorithms like KNN, Naive Bayes , SVM , Decision Forests etc
Experience with data visualization tools like D3.js , Ggplot etc is desired.
Knowledge of databases like MYSQL , NOSQL is desired
Excellent communication skills
Ability to work in a team with data oriented personality
Outstanding analytical and problem-solving skills
B.Tech/B.E in Computer Science or similar field; Master’s degree is a plus

Responsibilities:
Study and transform data science prototypes . Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state of art methods
Research and implement appropriate ML algorithms and tools
Select appropriate data sets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Show Less
Report",#N/A,51 to 200 Employees,Company - Private,Management & Consulting,Research & Development,#N/A,Unknown / Non-Applicable
49,"Siemens
4.1",AI-ML Engineer,Bengaluru,"Role: AI-ML Engineer
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and authoritative specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation - everything out of one hand!
What part will you play?
Analyze the applicability of learning algorithms to address customer use-cases.
Conduct exploratory analysis and ensure data adequacy.
Utilize various visualization tools to convey analysis and prediction results to stakeholders.
Design ML based solutions and train, test and deploy the models into production.
Ensure that the delivery conforms to organization and project quality requirements.
Review the performance of deployed models and make necessary modifications wherever required.

Use your skills to move the world forward!
Bachelor’s or master’s degree in Statistics, Mathematics, Computer Science, or any other quantitative field.
2-3 years of relevant experience in machine learning.
Essential Skills:
Experience in querying databases and in using SQL.
Conceptual understanding of Machine Learning and Deep Learning algorithms.
Ability to translate output from the algorithms to the respective domains.
Practical experience in developing end-to-end Machine Learning workflows. Including Data Preparation, Feature Engineering, Exploratory analysis, Selection of right learning algorithm, hyper-parameter tuning, validation, test, and model management.
Experience in computer vision and Natural Language Processing.
Proficiency in Python.
Strong working knowledge of Numpy, Pandas and Matplotlib.
Willingness to learn the problem domain and acquire required technical skills on the go.
Ability to execute a complete AI solution workflow from problem definition to usable implementation.
Skills in Exploratory analysis and in presenting insights and stats to the stakeholders.
Ability to identify right visualization to communicate data insights.
Applied statistics, Ability to use statistical techniques to derive value from data.
Experience in ETL with different data types (timeseries, images
Preferred Skills:
Familiarity with BI tools and Graph DB concepts
Experience in Design and implementation of robust end-to-end modern Data pipeline.
Experience in AWS Sagemaker.
Experience with cloud computing platforms (Azure/AWS).
Experience with Web Frameworks (Flask, FastAPI, Django).
Basic understanding of power and energy domain.
Make your mark in our exciting world at Siemens.
This role is based in Bangalore, where you’ll get the chance to work with teams impacting entire cities, countries - and the shape of things to come. We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and imagination and help us shape tomorrow.
Find out more about Siemens careers at: www.siemens.com/careers
Show Less
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,1847,$10+ billion (USD)
50,VDiSTiE,AI/ML Engineer - Intern,Bengaluru,"Learn and Grow in an empowered environment
At VDiSTiE, we are proud of our go-getter attitude that adds a feeling of challenge and fun in all our endeavours. As a open door workplace, we strive by fostering excellence that encourages innovation and creativity in everything we see and do. Join us to realize your career goals with the unique opportunity to enrich customer digital transformation journey.
We are continuously looking for talented individuals who has successful background in Sales, Marketing, Presales and Software development.
Post your updated resume to hr@vdistie.com

Who we are looking for:VDiSTiE is looking for an Web Development Engineer - Intern (3-6 months) based in Bengaluru who will be working with VDiSTiE's Software team. you will have the opportunity to involve and work on next-gen solutions to enrich digital transformation journey of our partners and customers.The right person for this role will understand how to implement interactive web ui for enterprise applications, creative thinking and focused mindset in creating futuristic solutions will be your ultimate objective.Roles & Responsibilities:· Determining the structure and design of web pages.· Ensuring user experience determines design choices.· Developing features to enhance the user experience.· Striking a balance between functional and aesthetic design.· Ensuring web design is optimized for smartphones.· Building reusable code for future use.· Optimizing web pages for maximum speed and scalability.· Utilizing a variety of markup languages to write web pages.· Maintaining brand consistency throughout the design.· Implement Visual Designs in standards compliant.· Build efficient and reusable front-end systems and abstractions.· Suggest and implement improvements to existing product interfaces.· Ensure that all the assigned systems are performing to scale.· Work closely with product management team to define and refine feature.Required Skills & Experience:· Understanding of key design principles.· Proficiency in HTML, CSS, JavaScript, and jQuery.· Understanding of server-side CSS.· Experience in consuming API's from backend· Experience with responsive and adaptive design.· Understanding of SEO principles.· Good problem-solving skills.· Excellent verbal communication skills.· Good interpersonal skills.
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
51,"IBST Private Limited
4.2",Data Scientist,Bengaluru,"Must experience in :
AI Deep Learning
Machine Learning
NLP
SQL
Model Deployment
Cloud Computing
Data Engineering
Flask, FastAPI, Docker
Design/Architecture
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2020,$5 to $25 million (USD)
52,"SAM Manpower and Career Services
4.4",Data Scientist,Bengaluru,"Job Description

SatSure Analytics India Pvt Ltd. SatSure is a deep tech, decision Intelligence company which works primarily at the nexus of geospatial data, data science and engineering creating products for finance, agriculture, climate change and infrastructure sector impacting millions of lives. We want to make insights from earth observation data accessible to all.

Data Science/Machine Learning team is aimed at developing innovative and state-of-the-art ML/DL solutions. It forms the core of SatSure’s Intellectual Property creation . The team works in a highly collaborative and cross functional manner with Geospatial Experts, ML Engineers and Data Analysts. The solutions that we design span from agrifinance to construction monitoring and impact fields ranging from power transmission to sustainability.

Roles and Responsibilities:
What you will be expected to do:
Study existing ML/DL model with product point of view to provide input on study protocol, design studies.

Identify and design statistical methods for data analysis, and conduct the actual analysis once datasets and outputs are ready.

Planning and implementation of data collection, data sampling and data quality assurance plans.

Keep updated on new developments and research in the field of statistical learning and quality assurance.

Keep documentation of relevant protocols, test plans.

Requirements

What we are looking for:
Experience:
2 - 3 years of professional experience.

5+ year programming in Python/C++ (includes coding experience during academics).

Experience working with large-scale data in mixed method research.

Expert-level proficiency in statistical/ML predictive techniques.

Understanding of DS/ML modeling, Analytical mind, able to dissect data in all perspectives.

Strong math skills (e. g. statistics, algebra).

Competencies:
A proven ability to learn new tools and technologies quickly.

Ability to develop novel solutions rather than look for readily available options.

An ability to translate complex topics and tools into easy to understand concepts in order to explain the impact of developed models to the stakeholders and peers.

Educational Qualifications:
Master’s degree/Bachelor’s degree in Mathematics/Statistics/Computer Science or equivalent

About Company / Benefits

Opportunity to work on a unique and futuristic technology setup

Flat organizational structure and accessibility

Best in class leave policy

Additional allowances for learning, skill development, broadband, medical insurance cover, etc.

Role:
Data Scientist

Location:
Bangalore, Karnataka, India

Work Exp.:
2-3 Years

Job Type:
Full Time

Salary:
INR 10-18 LPA
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
53,"Siemens Digital Industries Software
4.3",AI-ML Engineer,Bengaluru,"Role : AI-ML Engineer
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and authoritative specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation - everything out of one hand!
What part will you play?
Analyze the applicability of learning algorithms to address customer use-cases.
Conduct exploratory analysis and ensure data adequacy.
Utilize various visualization tools to convey analysis and prediction results to stakeholders.
Design ML based solutions and train, test and deploy the models into production.
Ensure that the delivery conforms to organization and project quality requirements.
Review the performance of deployed models and make necessary modifications wherever required.
Use your skills to move the world forward!
Bachelor’s or master’s degree in Statistics, Mathematics, Computer Science, or any other quantitative field.
2-3 years of relevant experience in machine learning.
Essential Skills:
Experience in querying databases and in using SQL.
Conceptual understanding of Machine Learning and Deep Learning algorithms.
Ability to translate output from the algorithms to the respective domains.
Practical experience in developing end-to-end Machine Learning workflows. Including Data Preparation, Feature Engineering, Exploratory analysis, Selection of right learning algorithm, hyper-parameter tuning, validation, test, and model management.
Experience in computer vision and Natural Language Processing.
Proficiency in Python.
Strong working knowledge of Numpy, Pandas and Matplotlib.
Willingness to learn the problem domain and acquire required technical skills on the go.
Ability to execute a complete AI solution workflow from problem definition to usable implementation.
Skills in Exploratory analysis and in presenting insights and stats to the stakeholders.
Ability to identify right visualization to communicate data insights.
Applied statistics, Ability to use statistical techniques to derive value from data.
Experience in ETL with different data types (timeseries, images
Preferred Skills:
Familiarity with BI tools and Graph DB concepts
Experience in Design and implementation of robust end-to-end modern Data pipeline.
Experience in AWS Sagemaker.
Experience with cloud computing platforms (Azure/AWS).
Experience with Web Frameworks (Flask, FastAPI, Django).
Basic understanding of power and energy domain.
Make your mark in our exciting world at Siemens.
This role is based in Bangalore, where you’ll get the chance to work with teams impacting entire cities, countries - and the shape of things to come. We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and imagination and help us shape tomorrow.
Find out more about Siemens careers at: www.siemens.com/ca reers
Job Family: Research & Development
Req ID: 364861
To apply to this job, click Apply Now
Show Less
Report",#N/A,5001 to 10000 Employees,Subsidiary or Business Segment,Information Technology,Software Development,2004,$10+ billion (USD)
54,"Dyson
3.0",Data Scientist,Bengaluru,"Summary
Salary:
Competitive
Team:
Data Science and Engineering
Location:
India - Bangalore Sales Office

ABOUT THE ROLE Dyson Global IT are seeking a Data Scientist who will be responsible for creating and maintaining data models and algorithms to support the project. They will work closely with the project team and external stakeholders to ensure that the project can leverage data effectively to meet ambitious objectives. The Data Scientist will be responsible for extracting and transforming data from multiple sources, and leveraging it to build predictive and prescriptive models. They will also be involved in developing and validating machine learning models, and will closely work with users from the business to ensure that the models are tailored to their needs, and can be used to gain insights, automate processes and improve decision making. Solid experience in data science and machine learning is essential for this role. Strong analytical and problem-solving skills are also essential, as project requirements may evolve over time and the Data Scientist will need to be able to adapt the data models and algorithms accordingly. Responsibilities Excellent business acumen - you are someone who can quickly absorb a new domain, and recognise what problems are most valuable for our stakeholders. A scientific and rigorous approach to solving practical problems using logical thinking. Extract and transform data from multiple sources to create a unified data set. Leverage data to build predictive and prescriptive models. Develop and validate machine learning models to solve complex problems. Collaborate with other teams to ensure that data models and algorithms are integrated with the project’s overall architecture. Analyse performance metrics to identify areas for improvement. Ensure that all data is securely stored and backed up. Identify and implement new technologies and tools to improve the data infrastructure. Monitor, troubleshoot and resolve data infrastructure issues in a timely manner. Requirements Bachelor’s degree in Computer Science, Mathematics, Statistics, or related field. 2+ years of experience in data science and machine learning. Familiarity with machine learning frameworks such as TensorFlow, PyTorch or Keras. Proficiency in one or more programming languages such as Python or R and knowledge in common data structures and algorithms. Proficiency in SQL languages such as MySQL or PostgreSQL. Hands-on experience with data analysis, data cleaning, wrangling and prescriptive analytics. Experience applying machine learning methods like clustering, tree-based models, neural networks and time series models. Experience in XGBoost and LightGBM is a plus. Fluent in Git and familiar with CI/CD/CT practices to develop and deliver software optimally. Knowledge of how to build enterprise data science products in cloud environments such as GCP is a bonus. Comfortable querying modern cloud databases (e.g., BigQuery, Snowflake, Redshift). Excellent communication skills and ability to work independently and as part of a team. Passion for learning new technologies and techniques. Familiarity with data visualization tools such as matplotlib, Tableau, Looker is an added advantage. Has a passion to understand Dyson, to frame its problems, and to deliver tactical solutions in short timeframes when required. Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.
Show Less
Report",#N/A,10000+ Employees,Company - Private,Manufacturing,Electronics Manufacturing,1993,Unknown / Non-Applicable
55,"Visa
4.1",Data Scientist- EVG,Bengaluru,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone.

Job Description

Visa's Consulting and Data Science team is a key part of the Global Solutions organization; a high-performing team of data scientists, data analysts and statisticians helping major organizations adapt and evolve to meet the changes taking place in technology, finance, and commerce; with cutting-edge, creative and advanced analytic solutions. The purpose of this team is to help Visa's clients to grow their business & solve their problems by providing consulting services through visa data.
What a Data Scientist CoE does at Visa:
The person will be part of the Visa Consulting and Analytics (VCA) team will report into Hub Data science lead
Specific responsibilities will include:
Building & helping our partners to build data science capabilities & analytical solutions to solve their business problems
Working knowledge in retail banking & credit card domain to guide the teams on the solution architecture
Drive innovation through using data science techniques
Act as data science advocate within our partners, advising and coaching analytical teams and sharing best practices and case studies.
Continually look at the environment to challenge our assumptions around new sources of data, potential analytics partners, tools, talent and infrastructure.
Explore leading methodologies and best practices to other teams and importing successful methodologies from other international markets

Qualifications

Minimum of 3+ years of analytics expertise in applying statistical solutions to business problems
Experience working in one or more of the Card Payments markets around the globe
Post-graduate degree (Masters or PhD) in a Quantitative field such as Statistics, Mathematics, Operational Research, Computer Science, Economics, Engineering, or equivalent
Good understanding of the Payments and Banking Industry including aspects such as consumer credit, consumer debit, prepaid, small business, commercial, co-branded and merchant
Good knowledge of data, market intelligence, business intelligence, and AI-driven tools and technologies
Experience planning, organizing, and managing multiple large projects with diverse cross-functional teams
Demonstrated ability to incorporate new techniques to solve business problems
Demonstrated resource planning and delivery skills

Additional Information

Visa will consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1958,$10+ billion (USD)
56,"Flipkart
4.1",Data Scientist -People Analytics,Bengaluru,"Lead Consultant - People Analytics
Bangalore
Reporting to – Senior Manager-People Analytics

About Flipkart

Flipkart is committed to the cause of transforming commerce in India through our investments in made-in-India technology innovations, customer-centric features and constructs, a diverse category landscape and a world-class supply chain. With a customer base of over 350 million, product coverage of over 150 million across 80+ categories, focus on generating direct and indirect employment and a commitment to empowering generations of entrepreneurs and MSMEs and a sustainable growth strategy – Flipkart is maximizing for our customers, stakeholders, and the planet at large!
Flipkart is a part of the Walmart-owned Flipkart Group, which also includes group companies Flipkart Health+, Myntra, and Cleartrip.
About the Role

Come join a high performing team and scale your career to new heights with the People Tech and Analytics function, as you enable Flipkart on its Digital Transformation journey.

People Tech Org Vision - To drive an integrated and a Best-in-class Digital People Experience for Flipsters through Technology and Analytics
People Analytics Org Vision- Influence People Decisions & Strategy through actionable Insights
How will this role maximize impact ?
This role is for a Lead People Analytics Consultant with Data science background (individual contributor) on the People Analytics team based out of Bangalore. Here you get the chance to be part of the team that uncovers data-driven insights to better attract, develop, motivate, advance, and retain Flipkart’s most important asset – our employees. This role will serve as a consultant for the HR function and Leaders to perform research and analyses on a broad spectrum of people related challenges. Examples include employee performance, growth, engagement, diversity, compensation, retention and top talent attrition. The ideal candidate is an SME and will have a strong quantitative background in HR Analytics, strong proficiency in Business Statistics, Python/R coding, Machine Learning/Deep Learning, etc. You will help build and manage analytics service and tool providing detailed statistical analysis across the employee life cycle and identify actionable insights, design, and develop organization-wide predictive models to improve employee experience, depend engagement and the EVP at Flipkart.

You are accountable for:
Predictive models
Understand hypothesis around speciﬁc People challenges (including Talent Management, Workplace Analytics, Engagement Analytics, Performance Analytics, and Attrition Analytics, etc).and map/clean corresponding data variables and build data sets
Conceptualize, design, build and then run Predictive models for the People analytics charter using AI / Machine Learning solutions and HR Data sets. This will also require a broad understanding in Data Engineering aspects
Guide and collaborate with the rest of the team to fine tune these models and then socialize with the respective BU’s/COEs to validate accuracy.
Partner with Bus/COEs to define clear action plans basis these insights
Bring in an external in view based on Industry research and best practices
Driver deeper accountability within HR for Data quality, based on data and insights
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, ad targeting and other business outcomes.
Consulting
Collaborating with HR and business teams to understand specific hypothesis or business needs and advise on data and analytics opportunities to deliver the HR functional goals in line with the HR Strategy for 23
Present key insights against metrics to leaders, HRBPs and managers, as well as partner with other COE/s teams across the company to accelerate our journey to success
Drive and manage People metrics for all BU’s across the employee life cycle
Co create and build insight models based on past trends with actionable recommendations for COEs and HRBPs
Drive report automation on Power Bi while embedding self-sufficiency within the function for all reporting/analytics needs
Engagement/Survey Management
Drive along with the rest of the team, the Continuous Listening strategy that capture employee experiences around key moments that matter, focused on increasing survey adoption and action planning with stakeholder groups. This is a key priority for 23 along with building and executing on the predictive model roadmap.
To succeed in this role, you should have the following:
Key Skills
Preferred Master / Bachelors Degree in Statistics / B.Tech at least 6+ years of experience in working on data science projects, preferably involving working with large data sets and creating statistical models. (HR domain experience is preferred) Overall Work experience in the range of 8-10 years
Hands-on experience in Python/R
Hands on experience on Power Bi
Background in Data Engineering is a plus, with broad exposure on data warehouses, ETLs etc
Text Mining/Natural Language processing and expertise in statistical models (Linear/Logistic regression, CART, Random forest, Clustering techniques
Key Behaviors
Big Picture thinker and can see the “art of the possible” while being able to paint that vision for others
Highly collaborative and solution oriented – Embodies a ONE HR mindset and seeks out ways to listen and engage others in ideation and execution
High degree of initiative, Bias for action to drive impact through accountability and creative problem solving
Growth mindset and willing to push their own boundaries - Challenge the status quo and raise the bar for the People Tech and analytics Org
People Analytics evangelist who lives and breathes data/analytics and exemplifies a Customer/People first mindset while using Design thinking principles
Certifications
HR Analytics
Data Science
Google Cloud platform or the equivalent of a cloud-based data hosting platform
Why work with us?
At Flipkart, we promise to maximize what you care about the most. You’ll get an opportunity to leave a mark and create your own legacy, you’ll have freedom to experiment, learn and grow, you’ll get to work with the best in our inclusive teams and experience our culture of care to ensure that you can focus on doing your best work.
Every Flipster is a Maximiser - Curious, Audacious, Entrepreneurial, Purpose-Driven, Excited By Big Challenges, A Team Player and Inclusive. If this is who you are, then Flipkart is the place where you can thrive.

We understand that your own aspirations and journeys are unique. So you choose what you want to maximize, and we provide you the platform for it. Because when you maximize, we maximize.
Visit our career site to know more about what it means to work at Flipkart.
Being Yourself @ Flipkart
Flipkart respects and values differences. We are proud to be an equal opportunity employer and are committed to promoting a diverse workplace culture where every individual is valued for who they are, regardless of race, color, age, faith, gender identity or expression, sexual orientation, nationality, marital status, professional pedigree, physical ability, veteran status, or any other characteristics. We firmly believe that when people with diverse identities and perspectives work together, we create the most value – for our customers, our people, and society. We are committed to fostering a culture of inclusion and belonging, where diverse teams innovate and excel every day.
To apply to this job, click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2007,$5 to $10 billion (USD)
57,"Industry.AI
4.5",Data Scientist,Bengaluru,"Location: Bangalore
Skill Sets:
Strong learning acumen
Team Player
High sense of ownership
Ability to work in a fast-paced and deadline driven environment
Passion for technology
Highly skilled at Data Interpretation
Problem solver

Responsibilities:
Hypothesis testing, insights generation, root cause analysis, factor analysis
Statistical model (predictive & prescriptive) development using various statistical methods
Familiar with Machine learning techniques/algorithms
Test/train the model, Improve Model accuracy, Execute & Monitor model performance, prepare reports based on the results of the analysis
Data Extraction from various platforms such as SQL/Big Data Platform/Google CP, Dataset Preparation (creation of base data, aggregation, transformation), performing EDA
Qualifications:
Experience with data analysis/Modelling
Postgraduate with Engineering Background
Hands on exposure of machine learning concepts and algorithms
Must be fluent with any one of these Python, R or Java
Strong in statistical & machine learning concepts
Knowledge of Python Libraries – Scipy, Numpy, Pandas, IPython, Scikit-learn, Tensor-flow, Keras, Theano etc.
Strong Python skills for data wrangling / analysis / visualization / modeling
Experience with distributed big data processing (PySpark, Jupyter, Linux, AWS)
Deployed at least one industrial project using supervised / unsupervised machine learning
Show Less
Report",#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
58,"Clarifai
3.0",Data Scientist,Bengaluru,"About the Company
Clarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States, Estonia, Argentina and India.
We have raised $100M in funding to date, with $60M coming from our most recent Series C, and are backed by industry leaders like Menlo Ventures, Union Square Ventures, Lux Capital, New Enterprise Associates, LDV Capital, Corazon Capital, Google Ventures, NVIDIA, Qualcomm and Osage.
Clarifai is proud to be an equal opportunity workplace dedicated to pursuing, hiring, and retaining a diverse workforce.
Your Impact
As a Data Scientist you will do integral work that allows the expansion of model creation and validation activities in support of the Platform. This activity will raise the quality and number of models available in the Clarifai Platform.
The Opportunity
You will manage the development of labeled data sets
Develop machine learning models
Be responsible for the machine learning model performance
Document the development of models
Support client engagements for creating custom models
Requirements
Machine learning development experience
Data Exploration expertise
Python scripts and Jupyter notebook experience
SQL programming experience
Technical writing skills
Data Science analysis experience
Cloud computing skills (AWS, GCP)
College degree BS (computer science, math, physics)
Ability to work in North America time zones
Great to Have
Master of Science degree or higher
Experience with JupyterLab
Open source development experience
Github
Show Less
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2013,Unknown / Non-Applicable
